type_id,char_id,value,confidence,source,note
waqf-khayri,LP1,0,C,"Kuran 2011","approaches personhood but the corporation was never developed"
waqf-khayri,LP2,P,C,"Kuran 2011","property dedicated; ownership suspended, held via the endowment not a person"
waqf-khayri,LP3,P,E,"[verify]","litigation conducted by the mutawalli, not by an entity with standing"
waqf-khayri,AP1,1,E,"Cizakca 2000","dedicated assets insulated from personal claims"
waqf-khayri,AP2,1,E,"Kuran 2011","inalienable and irrevocable; cannot be forced into partition"
waqf-khayri,AP3,na,,,"no members or owners with entity creditors"
waqf-khayri,AP4,1,E,"Kuran 2011","corpus leaves the founder's patrimony on constitution"
waqf-khayri,TS1,1,E,"Kuran 2011","perpetual by design (taʾbīd)"
waqf-khayri,TS2,open,E,"Kuran 2011","open-ended perpetuity"
waqf-khayri,TS3,0,C,"[verify]","majority view irrevocable (Abu Yusuf); schools differ"
waqf-khayri,TS4,0,E,"Kuran 2011","founder conditions perpetually binding; petrification"
waqf-khayri,CI1,none,E,"[verify]","endowed corpus, not pooled member capital"
waqf-khayri,CI2,1,E,"Kuran 2011","inalienable"
waqf-khayri,CI3,0,E,"[verify]","interest not tradable"
waqf-khayri,CI4,0,E,"[verify]","no depersonalised interest"
waqf-khayri,LR1,na,,,"no member liability"
waqf-khayri,LR2,veiled,C,"[verify]","mutawalli not entrepreneurially coupled; beneficiaries passive"
waqf-khayri,LR3,0,E,"[verify]","no profit-and-loss sharing"
waqf-khayri,LR4,P,C,"[verify]","charitable provision smooths beneficiary risk but is not a member risk-pool"
waqf-khayri,LR5,na,,,"not a pooling vehicle"
waqf-khayri,MG1,beneficiary,E,"[verify]","beneficiaries, not members"
waqf-khayri,MG2,founder-fixed,E,"Kuran 2011","governed by the founder's stipulations (shurūṭ al-wāqif)"
waqf-khayri,MG3,na,,,"no membership"
waqf-khayri,MG4,religious,E,"[verify]","constituted under fiqh, registered with the qadi"
waqf-khayri,FP1,pious-charitable,E,"Cizakca 2000","coding the khayrī variant; family waqf would be mixed"
waqf-khayri,FP2,0,E,"[verify]","no monopoly franchise"
waqf-khayri,FP3,0,E,"[verify]","no identity-wrapper function"
waqf-khayri,FP4,1,E,"[verify]","waqf deed registered with the qadi"
waqf-khayri,CF1,na,,,"not a capital-labour arrangement"
waqf-khayri,CF2,na,,,"not applicable"
waqf-khayri,CF3,na,,,"single founder, not a multi-principal contract"
joint-stock,LP1,1,E,"Harris 2020","chartered legal personhood"
joint-stock,AP3,P,C,"Harris 2020","limited liability a late and plural achievement, not an original feature"
natie,FP2,1,E,"Asaert/Devos/Suykens","the alleenrecht held as tradable property"
natie,CI3,1,E,"vault: The alleenrecht is monopoly held as tradable property","natiebaas shares"
nacion-cofradia,FP3,1,E,"Crespo Solana; Carrasco González","naturalization as access wrapper"
