char_id,facet,name,value_type,allowed_values,definition
LP1,legal-personality,juridical personhood,ternary,1|P|0,"Entity is a legal person distinct from its members."
LP2,legal-personality,property in own name,ternary,1|P|0,"Capacity to hold and own property as the entity."
LP3,legal-personality,capacity to sue,ternary,1|P|0,"Standing to sue and be sued as an entity."
AP1,asset-partitioning,entity shielding weak,ternary,1|P|0,"Entity creditors prioritized over members' personal creditors in entity assets."
AP2,asset-partitioning,liquidation protection,ternary,1|P|0,"Members and their creditors cannot force partition or withdrawal of entity assets."
AP3,asset-partitioning,owner shielding limited liability,ternary,1|P|0,"Members' personal assets shielded from entity creditors."
AP4,asset-partitioning,separation from founder estate,ternary,1|P|0,"The corpus leaves the founder's personal patrimony on constitution."
TS1,temporal,perpetual succession,ternary,1|P|0,"Entity persists across the death or exit of individual members."
TS2,temporal,venture horizon,nominal,open|fixed-term|single-venture,"Intended duration of the arrangement."
TS3,temporal,revocability,ternary,1|P|0,"Dissolvable or unwindable at will by a party (1 = revocable)."
TS4,temporal,mutability of purpose,ternary,1|P|0,"Entity can alter its own rules or purpose by internal decision."
CI1,capital,capital structure,nominal,common|several-accounts|none,"Form of the capital held or pooled."
CI2,capital,capital lock-in,ternary,1|P|0,"Contributed capital cannot be withdrawn at will."
CI3,capital,transferable interest,ternary,1|P|0,"Membership or ownership interest is alienable or tradable."
CI4,capital,depersonalised interest,ternary,1|P|0,"Interest is negotiable independent of the holder's identity."
LR1,liability-risk,liability extent,nominal,unlimited-joint|unlimited-several|limited|none,"Extent and form of members' liability for entity obligations."
LR2,liability-risk,outcome coupling,ordinal,coupled|attenuated|veiled,"Degree to which decision-makers are exposed to the venture's outcomes."
LR3,liability-risk,profit-and-loss sharing,ternary,1|P|0,"Returns shared proportionally to stake rather than as a fixed claim."
LR4,liability-risk,risk pooling,ternary,1|P|0,"Mutualizes idiosyncratic risk across members versus unshielded."
LR5,liability-risk,pooling correlation,nominal,diversifying|synchronising|na,"Correlation of the pooled baskets, which sets the sign of the pooling."
MG1,membership-governance,entitlement basis,nominal,membership|contract|beneficiary,"Basis of a participant's claim on the entity."
MG2,membership-governance,governance mode,nominal,collective|founder-fixed|single-principal,"Locus of decision-making."
MG3,membership-governance,entry restriction,ternary,1|P|0,"Membership is closed or numerically restricted (1 = restricted)."
MG4,membership-governance,authorization source,nominal,state-charter|customary|private-contract|religious,"Source of the entity's legal authorization."
FP1,function-privilege,purpose orientation,nominal,pious-charitable|commercial-profit|mutual-provision|mixed,"Primary declared purpose."
FP2,function-privilege,monopoly franchise,ternary,1|P|0,"Holds an exclusive right or franchise as property."
FP3,function-privilege,identity wrapper,ternary,1|P|0,"The form confers legal-status or access arbitrage for its principals."
FP4,function-privilege,legibility registration,ternary,1|P|0,"Entity is registered and legible to political authority."
CF1,contractual-form,capital-labour asymmetry,ternary,1|P|0,"One party supplies capital, another labour or enterprise."
CF2,contractual-form,agent bears capital loss,ternary,1|P|0,"Working party bears loss of the principal's capital (0 = principal bears it)."
CF3,contractual-form,principal count,nominal,bilateral|multilateral,"Number of principals to the arrangement."
