type_id,name,tradition,period,key_source,status
waqf-khayri,Waqf (charitable),Islamic,8c onward,"Kuran 2011; Cizakca 2000",seed
waqf-ahli,Waqf (family),Islamic,8c onward,"Kuran 2011",planned
ie,Ie (household),Japanese,12c onward,"vault: The ie as entity-shielding",seed
compagnia,Compagnia,Italian (Latin),13-15c,"vault: fraterna/compagnia note",seed
joint-stock,Joint-stock corporation,European,17c onward,"Harris 2020",seed
nacion-cofradia,Nación (cofradía),Spanish (Habsburg),16-18c,"Crespo Solana; Carrasco González",seed
natie,Antwerp natie,Low Countries,15c onward,"Asaert/Devos/Suykens",seed
kabu-nakama,Kabu-nakama,Japanese (Tokugawa),17-19c,"vault: natie/kabu-nakama note",seed
commenda,Commenda,Italian (Latin),10-13c,"Harris; vault qirad notes",planned
mudaraba,Mudaraba,Islamic,7c onward,"Udovitch; vault",planned
qirad,Qirad,Islamic (Maliki),7c onward,"vault: qirad notes",planned
ortoq,Ortoq,Mongol / Inner Asian,13-14c,"vault: The ortoq is the discriminating instrument",planned
fraterna,Fraterna,Venetian,12-15c,"vault: fraterna/compagnia note",planned
asiento-averia,Asiento de avería company,Spanish,17c,"vault: asiento notes",planned
voc,VOC (chartered company),Dutch,1602 onward,"Harris 2020",planned
huiguan,Huiguan (native-place assoc.),Chinese,16c onward,"to source",planned
gongsi,Gongsi / kongsi,Chinese,18c onward,"to source",planned
piaohao,Piaohao (Shanxi bank),Chinese,19c,"to source",planned
ton-ya,Ton'ya / toiya,Japanese,14c onward,"to source",planned
ko-mujin,Kō / mujin (mutual finance),Japanese,to date,"to source",planned
huf,Joint Hindu family (HUF),South Asian,to date,"to source",planned
